timestamp,source_mac,destination_mac,source_ip,destination_ip,source_port,destination_port,protocol,length,ttl,tcp_flags,tcp_window,icmp_type,icmp_code,dns_query,http_method,http_host,http_path,packet_direction
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,62,240,SYN ACK,26883,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,54,128,ACK,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,264,128,PSH ACK,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c4:8b:66:bb:20:1c,ff:ff:ff:ff:ff:ff,192.168.1.37,255.255.255.255,6537,6537,UDP,245,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,60,240,ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,1506,240,ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,1506,240,ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,54,128,ACK,65340,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,1397,240,PSH ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,147,128,PSH ACK,63997,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,60,240,ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,258,240,PSH ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,123,240,PSH ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,54,128,ACK,65340,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,141,128,PSH ACK,65340,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,181,128,PSH ACK,65340,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,92,128,PSH ACK,65340,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,1218,128,PSH ACK,65340,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,157.90.91.75,3550,443,TCP,55,128,ACK,64806,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,60,240,ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.73.6.249,192.168.1.33,443,4774,TCP,92,240,PSH ACK,27872,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
